Date,City/Neighborhood,Configuration,Average Price (USD),Utilities,Groceries,Internet,Cell Phone,Dining,Entertainment,Travel
8/11/2025,Panama City,1 BR / 1 BA,1184,120,275,35,30,180,300,30
8/11/2025,Panama City,2 BR / 1 BA,1702,120,275,35,30,180,300,30
8/11/2025,Panama City,2 BR / 2 BA,2220,120,275,35,30,180,300,30
8/11/2025,Bocas del Toro,1 BR / 1 BA,750,150,220,35,30,150,200,40
8/11/2025,Bocas del Toro,2 BR / 1 BA,975,150,220,35,30,150,200,40
8/11/2025,Bocas del Toro,2 BR / 2 BA,1350,150,220,35,30,150,200,40
8/11/2025,Coronado,1 BR / 1 BA,760,70,250,50,30,150,250,30
8/11/2025,Coronado,2 BR / 1 BA,1115,70,250,50,30,150,250,30
8/11/2025,Coronado,2 BR / 2 BA,1520,70,250,50,30,150,250,30
8/11/2025,Boquete,1 BR / 1 BA,755,40,200,50,30,100,200,20
8/11/2025,Boquete,2 BR / 1 BA,950,40,200,50,30,100,200,20
8/11/2025,Boquete,2 BR / 2 BA,1300,40,200,50,30,100,200,20
8/11/2025,David,1 BR / 1 BA,350,80,200,50,30,120,250,30
8/11/2025,David,2 BR / 1 BA,525,80,200,50,30,120,250,30
8/11/2025,David,2 BR / 2 BA,700,80,200,50,30,120,250,30
8/6/2025,Volcan,1 BR / 1 BA,350,30,250,40,30,150,150,30
8/6/2025,Volcan,2 BR / 1 BA,550,30,250,40,30,150,150,30
8/6/2025,Volcan,2 BR / 2 BA,700,30,250,40,30,150,150,30
8/11/2025,Chitre,1 BR / 1 BA,694,60,200,50,30,150,200,30
8/11/2025,Chitre,2 BR / 1 BA,954,60,200,50,30,150,200,30
8/11/2025,Chitre,2 BR / 2 BA,1041,60,200,50,30,150,200,30
8/11/2025,Casco Viejo,1 BR / 1 BA,1776,120,275,35,30,200,350,30
8/11/2025,Casco Viejo,2 BR / 1 BA,2368,120,275,35,30,200,350,30
8/11/2025,Casco Viejo,2 BR / 2 BA,2961,120,275,35,30,200,350,30
8/11/2025,Avenida Balboa,1 BR / 1 BA,1628,120,275,35,30,220,350,30
8/11/2025,Avenida Balboa,2 BR / 1 BA,2368,120,275,35,30,220,350,30
8/11/2025,Avenida Balboa,2 BR / 2 BA,3109,120,275,35,30,220,350,30
8/11/2025,El Valle de Anton,1 BR / 1 BA,500,150,220,35,30,150,200,40
8/11/2025,El Valle de Anton,2 BR / 1 BA,630,150,220,35,30,150,200,40
8/11/2025,El Valle de Anton,2 BR / 2 BA,870,150,220,35,30,150,200,40
